Serial #,Name,Price
1,Salad,8.99
2,Fried rice,12.99
3,Noodle  soup,10
4,Beef noodle soup,15.99
5,Century egg pork lean congee,8.99
6,Sea food congee,12.99
7,Peking duck,52.99
8,BBQ meat,15.99
9,BBQ duck,19.99
10,lettuce with soy souce,12.99
11,Broccoli with oyster sauce Sweet and Sour Pork,12.99
12,Sweet and Sour Pork,21.99
13,Braised beef,26.99
14,Braised pork,21.99
15,Braised fish,36.99
16,steamed fish,32.99
17,Spicy crab,56.99
18,Chefâ€™s daily soup,6.99
19,Hot and sour soup,8.99
20,Seafood tofu soup,12.99